timestep__time,timestep__vehicle__id,timestep__vehicle__x,timestep__vehicle__y,timestep__vehicle__angle,timestep__vehicle__type,timestep__vehicle__speed,timestep__vehicle__pos,timestep__vehicle__lane,timestep__vehicle__slope
0,veh0,12.1,-1.6,90,Bus,0,12.1,1to2_0,0
1,veh0,13.1,-1.6,90,Bus,1,13.1,1to2_0,0
2,veh0,14.1,-1.6,90,Bus,1,14.1,1to2_0,0
3,veh0,15.1,-1.6,90,Bus,1,15.1,1to2_0,0
4,veh0,16.1,-1.6,90,Bus,1,16.1,1to2_0,0
5,veh0,17.1,-1.6,90,Bus,1,17.1,1to2_0,0
6,veh0,18.1,-1.6,90,Bus,1,18.1,1to2_0,0
7,veh0,19.1,-1.6,90,Bus,1,19.1,1to2_0,0
8,veh0,20.1,-1.6,90,Bus,1,20.1,1to2_0,0
9,veh0,21.1,-1.6,90,Bus,1,21.1,1to2_0,0
10,veh0,22.1,-1.6,90,Bus,1,22.1,1to2_0,0
,veh1,103.55,1.29,45,Car,0,2.1,2to3_0,0
11,veh0,23.1,-1.6,90,Bus,1,23.1,1to2_0,0
,veh1,104.26,2,45,Car,1,3.1,2to3_0,0
12,veh0,24.1,-1.6,90,Bus,1,24.1,1to2_0,0
,veh1,105.68,3.42,45,Car,2,5.1,2to3_0,0
13,veh0,25.1,-1.6,90,Bus,1,25.1,1to2_0,0
,veh1,107.8,5.54,45,Car,3,8.1,2to3_0,0
14,veh0,26.1,-1.6,90,Bus,1,26.1,1to2_0,0
,veh1,110.63,8.37,45,Car,4,12.1,2to3_0,0
15,veh0,27.1,-1.6,90,Bus,1,27.1,1to2_0,0
,veh1,114.16,11.9,45,Car,5,17.1,2to3_0,0
16,veh0,28.1,-1.6,90,Bus,1,28.1,1to2_0,0
,veh1,118.4,16.14,45,Car,6,23.1,2to3_0,0
17,veh0,29.1,-1.6,90,Bus,1,29.1,1to2_0,0
,veh1,123.35,21.09,45,Car,7,30.1,2to3_0,0
18,veh0,30.1,-1.6,90,Bus,1,30.1,1to2_0,0
,veh1,129.01,26.75,45,Car,8,38.1,2to3_0,0
19,veh0,31.1,-1.6,90,Bus,1,31.1,1to2_0,0
,veh1,135.37,33.11,45,Car,9,47.1,2to3_0,0
20,veh0,32.1,-1.6,90,Bus,1,32.1,1to2_0,0
,veh1,142.45,40.19,45,Car,10,57.1,2to3_0,0
,veh2,198.4,90.17,180,Car,0,2.1,3to4_0,0
21,veh0,33.1,-1.6,90,Bus,1,33.1,1to2_0,0
,veh1,150.22,47.96,45,Car,11,68.1,2to3_0,0
,veh2,198.4,89.17,180,Car,1,3.1,3to4_0,0
22,veh0,34.1,-1.6,90,Bus,1,34.1,1to2_0,0
,veh1,158.71,56.45,45,Car,12,80.1,2to3_0,0
,veh2,198.4,87.17,180,Car,2,5.1,3to4_0,0
23,veh0,35.1,-1.6,90,Bus,1,35.1,1to2_0,0
,veh1,167.9,65.64,45,Car,13,93.1,2to3_0,0
,veh2,198.4,84.17,180,Car,3,8.1,3to4_0,0
24,veh0,36.1,-1.6,90,Bus,1,36.1,1to2_0,0
,veh1,177.12,74.86,45,Car,13.03,106.13,2to3_0,0
,veh2,198.4,80.17,180,Car,4,12.1,3to4_0,0
25,veh0,37.1,-1.6,90,Bus,1,37.1,1to2_0,0
,veh1,186.33,84.07,45,Car,13.03,119.17,2to3_0,0
,veh2,198.4,75.17,180,Car,5,17.1,3to4_0,0
26,veh0,38.1,-1.6,90,Bus,1,38.1,1to2_0,0
,veh1,192.77,90.51,45,Car,9.1,128.27,2to3_0,0
,veh2,198.4,69.17,180,Car,6,23.1,3to4_0,0
27,veh0,39.1,-1.6,90,Bus,1,39.1,1to2_0,0
,veh1,195.67,93.41,45,Car,4.1,132.37,2to3_0,0
,veh2,198.4,62.17,180,Car,7,30.1,3to4_0,0
28,veh0,40.1,-1.6,90,Bus,1,40.1,1to2_0,0
,veh1,198.3,93.18,138.34,Car,3.87,3.87,:3_1_0,0
,veh2,198.4,54.17,180,Car,8,38.1,3to4_0,0
29,veh0,41.1,-1.6,90,Bus,1,41.1,1to2_0,0
,veh1,198.4,89.32,180,Car,3.87,2.95,3to4_0,0
,veh2,198.4,45.18,180,Car,9,47.1,3to4_0,0
30,veh0,42.1,-1.6,90,Bus,1,42.1,1to2_0,0
,veh1,198.4,84.45,180,Car,4.87,7.82,3to4_0,0
,veh2,198.4,35.18,180,Car,10,57.1,3to4_0,0
31,veh0,43.1,-1.6,90,Bus,1,43.1,1to2_0,0
,veh1,198.4,78.59,180,Car,5.87,13.68,3to4_0,0
,veh2,198.4,24.18,180,Car,11,68.1,3to4_0,0
32,veh0,44.1,-1.6,90,Bus,1,44.1,1to2_0,0
,veh1,198.4,71.72,180,Car,6.87,20.55,3to4_0,0
,veh2,198.4,12.62,180,Car,11.56,79.66,3to4_0,0
33,veh0,45.1,-1.6,90,Bus,1,45.1,1to2_0,0
,veh1,198.4,63.86,180,Car,7.87,28.41,3to4_0,0
,veh2,198.59,6.07,174.69,Car,6.56,1.66,:4_0_0,0
34,veh0,46.1,-1.6,90,Bus,1,46.1,1to2_0,0
,veh1,198.4,54.99,180,Car,8.87,37.28,3to4_0,0
,veh2,201.48,1.24,111.06,Car,6.56,8.22,:4_0_0,0
